offer_id,type,fuel_type,transmission,dealer_plz,dealer_city,dealer_street_house_nr,init_regist_my,init_regist_month,init_regist_year,init_regist_dt,make,mileage,hp,price
7324420,AUDI A5 Sportback 3.0 TDI quattro S-tronic (Limousine),Diesel,Automatisiertes Schaltgetriebe,8488,Turbenthal,Mettlenstrasse 3,10.2014,10.0,2014.0,2014-10,AUDI,75000,245,22500
7512768,MERCEDES-BENZ SLK 200 7G-Tronic (Cabriolet),Benzin,Automat sequentiell,3186,Düdingen,Brugerastrasse 60,6.2013,6.0,2013.0,2013-06,MERCEDES-BENZ,46655,184,23749
7512034,MERCEDES-BENZ C 350 Avantgarde 4Matic 7G-Tronic (Limousine),Benzin,Automat sequentiell,1262,Eysins,1262 Eysins,6.2011,6.0,2011.0,2011-06,MERCEDES-BENZ,138955,306,18500
7512728,MERCEDES-BENZ A 45 AMG 4Matic Speedshift 7G-DCT (Limousine),Benzin,Automatisiertes Schaltgetriebe,4314,Zeiningen,Am Stutz 21,8.2015,8.0,2015.0,2015-08,MERCEDES-BENZ,43000,360,36000
7490242,AUDI A5 Sportback 2.0 TFSI Sport quattro S-tronic (Limousine),Benzin,Automatisiertes Schaltgetriebe,3250,Lyss,3250 Lyss,9.2018,9.0,2018.0,2018-09,AUDI,43300,252,48500
7512188,MERCEDES-BENZ SLK 200 Kompressor (Cabriolet),Benzin,Schaltgetriebe manuell,8832,Wollerau,Lindenstr. 1,12.2004,12.0,2004.0,2004-12,MERCEDES-BENZ,109000,163,12000
7512184,MERCEDES-BENZ C 350 Elégance Sport Edition 4Matic Automatic (Kombi),Benzin,Automat,6460,Altdorf,Spitalstrasse 8a,5.2006,5.0,2006.0,2006-05,MERCEDES-BENZ,156000,272,8000
7512142,SEAT Ibiza SC 1.4 TSI Cupra DSG (Kleinwagen),Benzin,Automatisiertes Schaltgetriebe,3014,Bern,Morgartenstrasse 17,2.201,2.0,2010.0,2010-02,SEAT,71400,180,10500
7511265,PORSCHE 911 Turbo Cabrio PDK (Cabriolet),Benzin,Automatisiertes Schaltgetriebe,4133,Pratteln,Schauenburgerstrasse 22,7.2015,7.0,2015.0,2015-07,PORSCHE,18000,521,143500
7511230,VW Golf 1.4 TSI Comfortline (Limousine),Benzin,Schaltgetriebe manuell,1807,Blonay,Chemin du Sous-Bois 5,12.2015,12.0,2015.0,2015-12,VW,110000,125,19800
7511828,AUDI RS3 2.5 TSI quattro S-tronic (Limousine),Benzin,Automatisiertes Schaltgetriebe,2087,Cornaux,Route des Provins 36,5.2018,5.0,2018.0,2018-05,AUDI,32000,400,59800
7511730,VW Golf 2.0 TSI R 4Motion (Limousine),Benzin,Schaltgetriebe manuell,5724,Dürrenäsch,5724 Dürrenäsch,4.2016,4.0,2016.0,2016-04,VW,56000,301,34500
7511638,MERCEDES-BENZ A 250 Sport 4Matic 7G-DCT (Limousine),Benzin,Automatisiertes Schaltgetriebe,8320,Fehraltorf,Im Berg 5,5.2017,5.0,2017.0,2017-05,MERCEDES-BENZ,53000,218,28900
7510626,BMW 1er M Coupé (Coupé),Benzin,Schaltgetriebe manuell,8272,Ermatingen,Hauptstrasse,6.2012,6.0,2012.0,2012-06,BMW,50500,340,44999
7407798,AUDI RS3 2.5 TSI quattro S-tronic (Limousine),Benzin,Automatisiertes Schaltgetriebe,6900,Lugano,6900 Lugano,9.2018,9.0,2018.0,2018-09,AUDI,51000,400,48500
7511040,BMW M4 Cabriolet DKG (Cabriolet),Benzin,Automatisiertes Schaltgetriebe,8050,Zürich,Regensbergstrasse 302,9.2018,9.0,2018.0,2018-09,BMW,14500,431,77800
7452216,MERCEDES-BENZ GLE 250 d 4Matic 9G-Tronic (SUV / Geländewagen),Diesel,Automat sequentiell,8645,Jona,Blumenaustrasse 7,1.2016,1.0,2016.0,2016-01,MERCEDES-BENZ,107500,204,31500
7355685,AUDI A7 Sportback 3.0 TFSI quattro S-tronic (Limousine),Benzin,Automatisiertes Schaltgetriebe,3600,Thun,3600 Thun,7.2012,7.0,2012.0,2012-07,AUDI,149500,310,19900
7328315,BMW X3 xDrive 20d (SUV / Geländewagen),Diesel,Automat,1241,Geneve,28 Route de Presinge,11.2013,11.0,2013.0,2013-11,BMW,137000,184,19900
7510896,DS AUTOMOBILES DS3 Cabrio 1.6 THP Sport Chic (Cabriolet),Benzin,Schaltgetriebe manuell,1972,Anzère,Route du Nord 5,3.2013,3.0,2013.0,2013-03,DS,67000,156,8800
7509998,MERCEDES-BENZ S 500 4Matic 7G-Tronic (Limousine),Benzin,Automat sequentiell,8184,Bachenbülach,8184 Bachenbülach,8.2014,8.0,2014.0,2014-08,MERCEDES-BENZ,76000,455,52000
7450524,KIA Ceed Sporty Wagon 1.4 16V Basic (Kleinwagen),Benzin,Schaltgetriebe manuell,1975,St. Severin,Route de Savoie 168,10.201,10.0,2010.0,2010-10,KIA,165000,90,3000
7487570,AUDI S3 Sportback 2.0 TFSI quattro (Limousine),Benzin,Schaltgetriebe manuell,2950,courgenay,Le Breuil 9,9.2011,9.0,2011.0,2011-09,AUDI,74000,265,16999
7493778,JAGUAR F-Pace 2.0d Prestige AWD Automatik (SUV / Geländewagen),Diesel,Automat sequentiell,8262,Ramsen,8262 Ramsen,4.2017,4.0,2017.0,2017-04,JAGUAR,69450,180,29999
7467442,BMW 535i xDrive Luxury Line Steptronic (Limousine),Benzin,Automat sequentiell,8702,Zollikon,8702 Zollikon,11.2013,11.0,2013.0,2013-11,BMW,91000,306,28750
7427995,VW Scirocco 1.4 TSI DSG (Coupé),Benzin,Automatisiertes Schaltgetriebe,1815,Clarens,Av.mayor-vautier,6.2009,6.0,2009.0,2009-06,VW,202000,160,6200
7510237,FERRARI 348 ts (Cabriolet),Benzin,Schaltgetriebe manuell,4410,Liestal,Arisdörferstrasse 108,12.1992,12.0,1992.0,1992-12,FERRARI,32900,286,54900
7510248,MERCEDES-BENZ ML 63 AMG 4Matic 7G-Tronic (SUV / Geländewagen),Benzin,Automat sequentiell,8750,Glarus,8750 Glarus,8.2006,8.0,2006.0,2006-08,MERCEDES-BENZ,170000,510,19500
7510212,AUDI A6 Avant 3.0 BiTDI V6 qu. competition tiptronic (Kombi),Diesel,Automat sequentiell,3063,Ittigen,"Kirschenackerweg, 30",1.2016,1.0,2016.0,2016-01,AUDI,71000,326,41900
7510203,FIAT 500 1.2 Lounge (Kleinwagen),Benzin,Schaltgetriebe manuell,9496,Balzers,Plattenbach 8,4.2015,4.0,2015.0,2015-04,FIAT,33622,70,7500
7509426,DODGE Challenger GT AWD (Coupé),Benzin,Automatik-Getriebe,5507,Mellingen,lenzburgerstrasse 55,5.2019,5.0,2019.0,2019-05,DODGE,30000,309,40000
7509715,AUDI S3 Sedan 2.0 TFSI quattro S-tronic (Limousine),Benzin,Automatisiertes Schaltgetriebe,8635,Dürnten,Kellerlochstrasse 7,2.2017,2.0,2017.0,2017-02,AUDI,64100,310,37500
7509404,OPEL Insignia Sports Tourer 2.0 CDTI Cosmo 4WD Aut. (Kombi),Diesel,Automat sequentiell,6078,Lungern,Badmattweg 29,6.2016,6.0,2016.0,2016-06,OPEL,96000,170,18500
7510150,BMW 118i (Limousine),Benzin,Schaltgetriebe manuell,8956,Killwangen,Rütenenstrasse 19.,6.2007,6.0,2007.0,2007-06,BMW,152000,143,5549
