"original_Location","lat","lon","formatted","district","county_code","city","name","county","state","state_code","country","country_code","confidence","attribution","attribution_license","attribution_url"
"Beach 3, Robert Moses State Park, Suffolk County",40.938789,-72.685211,"Suffolk County, NY, United States of America",,,,"Suffolk County","Suffolk County","New York","NY","United States","us",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Cancún",43.8844201,125.3180998,"130000 Jilin, China",,,"Changchun City",,,"Jilin",,"China","cn",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Protea Banks",-30.83333,30.48333,"Protea Banks",,,,"Protea Banks",,,,,,0,,"CC BY 4.0","https://www.geonames.org/datasources/"
"Daytona Beach Shores, Volusia County",29.1760933,-80.9828323,"Daytona Beach Shores, FL, United States of America",,,"Daytona Beach Shores",,"Volusia County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Sahl Hasheesh",27.0484448,33.8868439,"Sahl Hasheesh, Red Sea, Egypt",,,,"Sahl Hasheesh",,"Red Sea",,"Egypt","eg",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Anna Maria Island, Manatee County",27.529382,-82.73247233298102,"Anna Maria island, FL 34216, United States of America",,,"Anna Maria island",,"Manatee County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Boqueirão Beach",-8.790677,-37.221751,"Boqueirão, Boqueirão - Northeast, Brazil",,,"Boqueirão",,"Pernambuco","Northeast",,"Brazil","br",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Bathtub Beach, Martin County",27.18588305,-80.16071626913461,"Bathtub Beach, Seminole Shores, FL, United States of America",,,"Seminole Shores","Bathtub Beach","Martin County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Port MacDonnell",-38.0518869,140.7004059,"Port MacDonnell SA 5291, Australia",,,"Port MacDonnell",,,"South Australia","SA","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Famara Beach, Lanzarote",29.076505,-13.662726,"Camino Famara, Tinajo, Spain",,"GC","Tinajo",,"Las Palmas","Canary Islands",,"Spain","es",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Cabo Catoche",21.1577882,-86.8455342,"Cabo Catoche, 77507 Cancún, ROO, Mexico","SM 32",,"Cancún","Cabo Catoche","Benito Juárez","Quintana Roo","ROO","Mexico","mx",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Lennox Head",-28.7910334,153.5878047,"Lennox Head NSW 2478, Australia",,,"Lennox Head",,,"New South Wales","NSW","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Jacksonville Beach, Duval County",30.2946859,-81.3931396,"Jacksonville Beach, Jacksonville Beach, FL, United States of America",,,"Jacksonville Beach",,"Duval County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Southeast of Puerto Peñasco",41.40537,-73.60013,"Southeast, NY, United States of America","Southeast",,"Southeast",,"Putnam County","New York","NY","United States","us",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Bethune Beach, Volusia County",28.9491539,-80.83783,"Bethune Beach, FL, United States of America",,,"Bethune Beach","Bethune Beach","Volusia County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Groote Eylandt",-13.980525199999999,136.58688005808932,"Groote Eylandt, Australia",,,,"Groote Eylandt",,,,"Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Pounders Beach, Oahu",33.762587,-88.395939,"Pounders Lane, Monroe County, MS, United States of America",,,,,"Monroe County","Mississippi","MS","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Sai Noi Beach",12.453577150000001,99.98164063084005,"Sai Noi Beach, Khao Noi, Wang Phong, Thailand","Khao Tao",,"Khao Noi","Sai Noi Beach","Wang Phong","Prachuap Khiri Khan Province",,"Thailand","th",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Galveston Bay",29.5696734,-94.936592,"Galveston Bay, Chambers County, TX, United States of America",,,,"Galveston Bay","Chambers County","Texas","TX","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Le Goulet",47.7053428,-64.7155661,"Le Goulet, NB, Canada",,,"Le Goulet",,"Shippagan Parish","New Brunswick","NB","Canada","ca",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Normanville",49.6948768,0.5941406,"76640 Normanville, France",,,"Normanville",,"Seine-Maritime","Normandy","NOR","France","fr",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Marconi Beach, Wellfleet, Barnstable County",41.8910565,-69.9614174,"Marconi Beach, Wellfleet, MA 02651, United States of America","Wellfleet",,"Wellfleet","Marconi Beach","Barnstable County","Massachusetts","MA","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Boa Viagem, Recife",-8.1235027,-34.9033955,"Boa Viagem, Recife, PE, Brazil","Recife",,"Recife",,"Região Metropolitana do Recife","Pernambuco","PE","Brazil","br",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"20 k off The Spit, off the Gold Coast",,,,,,,,,,,,,,,,
"Melbourne Beach, Brevard County",28.0683496,-80.5603303,"Melbourne Beach, FL, United States of America",,,"Melbourne Beach",,"Brevard County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"North Myrtle Beach, Horry County",33.8278405,-78.6800323,"North Myrtle Beach, SC, United States of America",,,"North Myrtle Beach",,"Horry County","South Carolina","SC","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Bombo Beach",-34.65930085,150.85451672257915,"Bombo Beach, Bombo NSW 2533, Australia",,,"Bombo","Bombo Beach",,"New South Wales","NSW","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Shipyard Beach Club, Hilton Head Island, Beaufort County",32.213296,-96.077395,"Hilton Head Island Drive, Henderson County, TX, United States of America",,,,,"Henderson County","Texas","TX","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Jacksonville Beach, Duval County",30.2946859,-81.3931396,"Jacksonville Beach, Jacksonville Beach, FL, United States of America",,,"Jacksonville Beach",,"Duval County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Murrells Inlet, Georgetown County",33.5499183,-79.0430329,"Murrells Inlet, SC, United States of America",,,"Murrells Inlet",,"Georgetown County","South Carolina","SC","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Buffels Bay near Knysna",-34.321106,18.460134,"Buffels Bay Road, City of Cape Town, Cape Town, South Africa","City of Cape Town",,"Cape Town",,"City of Cape Town","Western Cape","WC","South Africa","za",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"3 miles off Jupiter, Palm Beach County",26.906457,-80.114479,"Jupiter, FL, United States of America",,,"Jupiter",,"Palm Beach County","Florida","FL","United States","us",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Off Panama City",8.9936,-79.51973,"Panama City, Panamá, Panama",,,"Panama City",,"Panamá","Panama",,"Panama","pa",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Assateague National Seashore",38.14859785,-75.18583328346526,"Assateague Island National Seashore, West Ocean City, MD, United States of America",,,"West Ocean City","Assateague Island National Seashore","Worcester County","Maryland","MD","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Indialantic, Brevard County",28.0914926,-80.5662467,"Indialantic, FL, United States of America",,,"Indialantic",,"Brevard County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Kylie's Beach, Diamond Head",21.2556924,-157.809503,"Diamond Head Lighthouse, 3399 Diamond Head Road, East Honolulu, HI 96815, United States of America",,,"East Honolulu","Diamond Head Lighthouse","Honolulu County","Hawaii","HI","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"Tofino, Vancouver",49.1538091,-125.9075155,"Vancouver Island Regional Library - Tofino Branch, 331 Main Street, Tofino, BC V0R 2Z0, Canada",,,"Tofino","Vancouver Island Regional Library - Tofino Branch","Alberni-Clayoquot Regional District","British Columbia","BC","Canada","ca",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Port de la Marine",47.2722991,-2.2006772,"La Marine, Place de la Rampe, 44600 Saint-Nazaire, France","Ville Port",,"Saint-Nazaire","La Marine","Loire-Atlantique","Pays de la Loire","PDL","France","fr",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Seaside Cove",33.8528031,-117.9501108,"Seaside Cove, Anaheim, CA 92801, United States of America",,,"Anaheim","Seaside Cove","Orange County","California","CA","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Perdido Key, Escambia County",30.3180487,-87.42592753140273,"Shops at Perdido Key, Escambia County, FL, United States of America",,,,"Shops at Perdido Key","Escambia County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Levan Point",55.9483648,-4.8588376,"Levan Point, Gourock, PA19 1BL, United Kingdom",,"IVC","Gourock","Levan Point","Inverclyde","Scotland","SCT","United Kingdom","gb",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Malake Island, Ra Province",53.09975,14.241523,"Straße Id, Schwedt, Germany","Schwedt/Oder",,"Schwedt",,"Uckermark","Brandenburg","BB","Germany","de",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,"New Smyrna Beach, New Smyrna Beach, FL, United States of America",,,"New Smyrna Beach",,"Volusia County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Eight Mile Beach, Galveston",29.28592,-94.81164,"Galveston, TX, United States of America",,,"Galveston",,"Galveston County","Texas","TX","United States","us",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Nara Reef",50.043186,3.681195,"Ruelle Nara, Fesmy-le-Sart, France","Oisy",,"Fesmy-le-Sart",,"Aisne","Upper France",,"France","fr",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Achang Reef",52.294415,6.769298,"Het Reef, Borne, Netherlands","Borne",,"Borne",,,"Overijssel","OV","Netherlands","nl",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Playa La Cabaña",27.791683,-15.7081909,"La Cabaña, Avenida de Tomás Roca Bosch, 35130 Mogán, Spain",,"GC","Mogán","La Cabaña","Las Palmas",,,"Spain","es",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Quy Nhon",13.770409,109.232667,"Quy Nhơn, Bình Định Province, Vietnam",,,"Quy Nhơn",,,"Bình Định Province",,"Vietnam","vn",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
